Movie_name,Movie link,Review link
1. Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=sr_t_1,https://www.imdb.com/title/tt15398776/reviews/?ref_=tt_ql_2
2. It's a Wonderful Life,https://www.imdb.com/title/tt0038650/?ref_=sr_t_2,https://www.imdb.com/title/tt0038650/reviews/?ref_=tt_ql_2
3. Parasite,https://www.imdb.com/title/tt6751668/?ref_=sr_t_3,https://www.imdb.com/title/tt6751668/reviews/?ref_=tt_ql_2
4. Spider-Man: Across the Spider-Verse,https://www.imdb.com/title/tt9362722/?ref_=sr_t_4,https://www.imdb.com/title/tt9362722/reviews/?ref_=tt_ql_2
5. The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=sr_t_5,https://www.imdb.com/title/tt0111161/reviews/?ref_=tt_ql_2
6. The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=sr_t_6,https://www.imdb.com/title/tt0120737/reviews/?ref_=tt_ql_2
7. The Godfather,https://www.imdb.com/title/tt0068646/?ref_=sr_t_7,https://www.imdb.com/title/tt0068646/reviews/?ref_=tt_ql_2
8. Interstellar,https://www.imdb.com/title/tt0816692/?ref_=sr_t_8,https://www.imdb.com/title/tt0816692/reviews/?ref_=tt_ql_2
9. Forrest Gump,https://www.imdb.com/title/tt0109830/?ref_=sr_t_9,https://www.imdb.com/title/tt0109830/reviews/?ref_=tt_ql_2
10. Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=sr_t_10,https://www.imdb.com/title/tt0119217/reviews/?ref_=tt_ql_2
11. Pulp Fiction,https://www.imdb.com/title/tt0110912/?ref_=sr_t_11,https://www.imdb.com/title/tt0110912/reviews/?ref_=tt_ql_2
12. Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/?ref_=sr_t_12,https://www.imdb.com/title/tt0082971/reviews/?ref_=tt_ql_2
13. Gladiator,https://www.imdb.com/title/tt0172495/?ref_=sr_t_13,https://www.imdb.com/title/tt0172495/reviews/?ref_=tt_ql_2
14. The Dark Knight,https://www.imdb.com/title/tt0468569/?ref_=sr_t_14,https://www.imdb.com/title/tt0468569/reviews/?ref_=tt_ql_2
15. Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=sr_t_15,https://www.imdb.com/title/tt0361748/reviews/?ref_=tt_ql_2
16. Whiplash,https://www.imdb.com/title/tt2582802/?ref_=sr_t_16,https://www.imdb.com/title/tt2582802/reviews/?ref_=tt_ql_2
17. Inception,https://www.imdb.com/title/tt1375666/?ref_=sr_t_17,https://www.imdb.com/title/tt1375666/reviews/?ref_=tt_ql_2
18. The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=sr_t_18,https://www.imdb.com/title/tt0167260/reviews/?ref_=tt_ql_2
19. Fight Club,https://www.imdb.com/title/tt0137523/?ref_=sr_t_19,https://www.imdb.com/title/tt0137523/reviews/?ref_=tt_ql_2
20. Back to the Future,https://www.imdb.com/title/tt0088763/?ref_=sr_t_20,https://www.imdb.com/title/tt0088763/reviews/?ref_=tt_ql_2
21. Goodfellas,https://www.imdb.com/title/tt0099685/?ref_=sr_t_21,https://www.imdb.com/title/tt0099685/reviews/?ref_=tt_ql_2
22. The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=sr_t_22,https://www.imdb.com/title/tt0167261/reviews/?ref_=tt_ql_2
23. The Green Mile,https://www.imdb.com/title/tt0120689/?ref_=sr_t_23,https://www.imdb.com/title/tt0120689/reviews/?ref_=tt_ql_2
24. Schindler's List,https://www.imdb.com/title/tt0108052/?ref_=sr_t_24,https://www.imdb.com/title/tt0108052/reviews/?ref_=tt_ql_2
25. Oldboy,https://www.imdb.com/title/tt0364569/?ref_=sr_t_25,https://www.imdb.com/title/tt0364569/reviews/?ref_=tt_ql_2
